ID,Pick Number,Team PF,Team Y/P,Team 1stD,Team Cmp,Team Att,Team Yds.1,Team TD,Team Int,Team NY/A,Team Att.1,Team Yds.2,Team TD.1,Team Y/A,Team 1stD.2,Team Sc%,Team Yds.4,Team Pts,Opp. PF,Opp. Y/P,Opp. TO,Opp. 1stD,Opp. Cmp,Opp. Yds.1,Opp. TD,Opp. Int,Opp. NY/A,Opp. Att.1,Opp. Yds.2,Opp. TD.1,Opp. Y/A,Opp. 1stD.2,Opp. Sc%,Opp. Yds.4,Opp. Pts,Off. Rank PF,Off. Rank Yds,Off. Rank 1stD,Off. Rank Att,Off. Rank Yds.1,Off. Rank TD,Off. Rank Int,Off. Rank NY/A,Off. Rank Att.1,Off. Rank Yds.2,Off. Rank TD.1,Off. Rank Y/A,Off. Rank Sc%,Off. Rank Yds.4,Off. Rank Pts,Def. Rank PF,Def. Rank Yds,Def. Rank TO,Def. Rank 1stD,Def. Rank Yds.1,Def. Rank TD,Def. Rank Int,Def. Rank NY/A,Def. Rank Att.1,Def. Rank Yds.2,Def. Rank TD.1,Def. Rank Y/A,Def. Rank Sc%,Def. Rank Yds.4,Def. Rank Pts
43,12,376.0,5.8,332.0,392.0,640.0,4238.0,25.0,4.0,6.1,333.0,1667.0,14.0,5.0,98.0,38.8,33.2,2.04,400.0,5.6,15.0,331.0,336.0,3752.0,30.0,7.0,6.6,446.0,1918.0,15.0,4.3,100.0,37.9,31.0,2.15,14.0,12.0,15.0,3.0,9.0,20.0,1.0,21.0,32.0,22.0,15.0,2.0,11.0,12.0,15.0,22.0,18.0,29.0,21.0,12.0,22.0,29.0,21.0,27.0,22.0,20.0,13.0,14.0,14.0,23.0
44,13,319.0,5.3,252.0,292.0,455.0,2900.0,26.0,13.0,5.7,371.0,1738.0,7.0,4.7,75.0,28.3,25.0,1.59,433.0,6.1,28.0,350.0,335.0,3932.0,31.0,21.0,7.3,485.0,2325.0,17.0,4.8,116.0,39.9,34.2,2.27,26.0,31.0,31.0,30.0,30.0,17.0,18.0,26.0,25.0,18.0,30.0,9.0,29.0,29.0,27.0,27.0,29.0,5.0,26.0,21.0,25.0,2.0,31.0,31.0,31.0,25.0,26.0,7.0,28.0,27.0
45,14,414.0,6.2,352.0,428.0,617.0,4653.0,36.0,7.0,7.1,351.0,1573.0,11.0,4.5,84.0,42.9,37.0,2.4,423.0,6.0,19.0,375.0,398.0,4153.0,33.0,15.0,6.7,409.0,1999.0,16.0,4.9,115.0,41.5,36.0,2.39,10.0,6.0,10.0,5.0,4.0,3.0,2.0,7.0,30.0,27.0,23.0,13.0,4.0,2.0,4.0,25.0,28.0,20.0,30.0,27.0,29.0,9.0,24.0,14.0,25.0,21.0,28.0,3.0,30.0,30.0
46,15,281.0,5.0,280.0,311.0,509.0,3021.0,16.0,15.0,5.5,414.0,1774.0,12.0,4.3,96.0,31.8,28.3,1.61,359.0,5.7,26.0,330.0,362.0,3794.0,27.0,15.0,6.5,413.0,1860.0,12.0,4.5,109.0,35.1,33.0,1.96,29.0,28.0,28.0,26.0,28.0,28.0,22.0,29.0,14.0,17.0,20.0,18.0,25.0,27.0,26.0,15.0,17.0,10.0,20.0,15.0,16.0,9.0,16.0,15.0,17.0,10.0,18.0,20.0,23.0,16.0
47,16,376.0,5.9,356.0,378.0,563.0,3836.0,28.0,16.0,6.4,416.0,2136.0,17.0,5.1,117.0,37.0,34.5,2.15,382.0,6.0,23.0,315.0,353.0,3847.0,32.0,13.0,6.8,384.0,1804.0,13.0,4.7,110.0,38.0,33.0,2.19,14.0,10.0,9.0,15.0,16.0,14.0,25.0,16.0,12.0,4.0,6.0,1.0,16.0,8.0,11.0,19.0,15.0,14.0,11.0,18.0,27.0,15.0,26.0,8.0,12.0,15.0,23.0,12.0,24.0,25.0
48,17,369.0,5.8,297.0,382.0,583.0,4047.0,23.0,12.0,6.4,354.0,1650.0,13.0,4.7,71.0,38.4,32.2,1.97,412.0,5.7,21.0,346.0,362.0,4044.0,24.0,16.0,6.9,444.0,1898.0,18.0,4.3,103.0,40.9,32.7,2.18,16.0,17.0,25.0,9.0,11.0,21.0,12.0,17.0,29.0,24.0,16.0,10.0,12.0,15.0,18.0,23.0,24.0,15.0,25.0,23.0,13.0,7.0,27.0,25.0,20.0,28.0,11.0,4.0,22.0,24.0
49,18,360.0,5.5,310.0,425.0,606.0,4036.0,30.0,10.0,6.2,357.0,1493.0,9.0,4.2,66.0,32.4,29.2,1.8,341.0,5.0,20.0,303.0,315.0,3140.0,15.0,12.0,5.7,440.0,1815.0,13.0,4.1,107.0,33.7,27.3,1.63,19.0,20.0,22.0,6.0,13.0,10.0,8.0,18.0,27.0,30.0,27.0,25.0,23.0,25.0,24.0,9.0,4.0,16.0,7.0,3.0,1.0,18.0,4.0,22.0,15.0,15.0,8.0,24.0,4.0,3.0
50,19,310.0,5.3,289.0,293.0,437.0,2975.0,16.0,12.0,6.1,456.0,2027.0,15.0,4.4,106.0,34.9,30.0,1.82,303.0,5.3,17.0,298.0,337.0,3471.0,21.0,11.0,6.1,429.0,1863.0,9.0,4.3,98.0,33.1,30.9,1.72,27.0,25.0,26.0,31.0,29.0,28.0,12.0,20.0,9.0,6.0,11.0,16.0,22.0,23.0,22.0,3.0,8.0,22.0,5.0,6.0,3.0,23.0,8.0,19.0,18.0,4.0,15.0,28.0,12.0,4.0
51,20,329.0,5.5,320.0,367.0,588.0,3695.0,19.0,15.0,5.9,393.0,1907.0,18.0,4.9,107.0,30.6,30.1,1.72,349.0,5.7,28.0,318.0,353.0,3929.0,26.0,17.0,6.6,429.0,1913.0,11.0,4.5,85.0,34.1,31.4,1.82,24.0,19.0,20.0,8.0,19.0,24.0,22.0,24.0,21.0,12.0,4.0,4.0,28.0,21.0,25.0,13.0,22.0,5.0,16.0,20.0,14.0,5.0,23.0,19.0,21.0,6.0,17.0,22.0,17.0,9.0
52,21,376.0,5.8,332.0,392.0,640.0,4238.0,25.0,4.0,6.1,333.0,1667.0,14.0,5.0,98.0,38.8,33.2,2.04,400.0,5.6,15.0,331.0,336.0,3752.0,30.0,7.0,6.6,446.0,1918.0,15.0,4.3,100.0,37.9,31.0,2.15,14.0,12.0,15.0,3.0,9.0,20.0,1.0,21.0,32.0,22.0,15.0,2.0,11.0,12.0,15.0,22.0,18.0,29.0,21.0,12.0,22.0,29.0,21.0,27.0,22.0,20.0,13.0,14.0,14.0,23.0
53,22,367.0,5.6,346.0,422.0,599.0,4275.0,29.0,11.0,6.7,398.0,1570.0,12.0,3.9,94.0,38.1,33.2,2.07,348.0,5.8,17.0,308.0,417.0,4308.0,22.0,10.0,6.4,332.0,1551.0,14.0,4.7,71.0,38.6,33.1,1.98,18.0,14.0,11.0,7.0,7.0,11.0,10.0,10.0,20.0,28.0,20.0,30.0,13.0,13.0,12.0,12.0,23.0,22.0,8.0,30.0,8.0,25.0,13.0,1.0,7.0,19.0,21.0,10.0,25.0,18.0
54,23,402.0,5.6,333.0,345.0,506.0,3781.0,26.0,9.0,6.7,472.0,2021.0,12.0,4.3,94.0,40.3,31.1,2.03,316.0,5.4,29.0,298.0,385.0,4167.0,28.0,15.0,6.5,385.0,1323.0,8.0,3.4,76.0,31.6,29.4,1.72,11.0,15.0,14.0,27.0,17.0,17.0,6.0,12.0,4.0,8.0,20.0,19.0,9.0,18.0,17.0,4.0,12.0,4.0,5.0,28.0,18.0,9.0,18.0,9.0,3.0,3.0,1.0,30.0,7.0,5.0
55,24,290.0,5.4,300.0,382.0,556.0,3751.0,19.0,10.0,6.2,387.0,1628.0,9.0,4.2,86.0,31.3,30.5,1.57,467.0,6.3,17.0,317.0,299.0,3853.0,36.0,14.0,7.8,480.0,2249.0,16.0,4.7,108.0,44.3,35.1,2.52,28.0,23.0,24.0,16.0,18.0,24.0,8.0,19.0,23.0,25.0,27.0,23.0,26.0,19.0,28.0,32.0,26.0,22.0,14.0,19.0,32.0,14.0,32.0,30.0,30.0,21.0,22.0,2.0,29.0,32.0
56,25,389.0,5.3,367.0,334.0,556.0,3558.0,18.0,9.0,6.1,547.0,2441.0,19.0,4.5,153.0,40.7,33.7,2.06,287.0,4.8,17.0,286.0,337.0,3360.0,21.0,12.0,5.4,354.0,1327.0,11.0,3.7,82.0,29.1,26.0,1.59,13.0,9.0,7.0,16.0,22.0,26.0,6.0,23.0,1.0,2.0,3.0,15.0,8.0,11.0,14.0,2.0,1.0,22.0,2.0,5.0,3.0,18.0,2.0,3.0,4.0,6.0,3.0,31.0,3.0,2.0
57,26,281.0,5.0,280.0,311.0,509.0,3021.0,16.0,15.0,5.5,414.0,1774.0,12.0,4.3,96.0,31.8,28.3,1.61,359.0,5.7,26.0,330.0,362.0,3794.0,27.0,15.0,6.5,413.0,1860.0,12.0,4.5,109.0,35.1,33.0,1.96,29.0,28.0,28.0,26.0,28.0,28.0,22.0,29.0,14.0,17.0,20.0,18.0,25.0,27.0,26.0,15.0,17.0,10.0,20.0,15.0,16.0,9.0,16.0,15.0,17.0,10.0,18.0,20.0,23.0,16.0
58,27,290.0,5.4,300.0,382.0,556.0,3751.0,19.0,10.0,6.2,387.0,1628.0,9.0,4.2,86.0,31.3,30.5,1.57,467.0,6.3,17.0,317.0,299.0,3853.0,36.0,14.0,7.8,480.0,2249.0,16.0,4.7,108.0,44.3,35.1,2.52,28.0,23.0,24.0,16.0,18.0,24.0,8.0,19.0,23.0,25.0,27.0,23.0,26.0,19.0,28.0,32.0,26.0,22.0,14.0,19.0,32.0,14.0,32.0,30.0,30.0,21.0,22.0,2.0,29.0,32.0
59,28,428.0,6.3,338.0,348.0,512.0,4089.0,32.0,12.0,7.5,399.0,1873.0,16.0,4.7,100.0,42.4,34.9,2.4,329.0,5.4,20.0,311.0,351.0,3646.0,23.0,13.0,6.2,395.0,1693.0,11.0,4.3,101.0,33.7,31.5,1.82,6.0,11.0,13.0,24.0,10.0,8.0,12.0,5.0,19.0,15.0,7.0,7.0,5.0,7.0,5.0,8.0,9.0,16.0,10.0,9.0,12.0,15.0,11.0,11.0,9.0,6.0,12.0,23.0,18.0,8.0
60,29,428.0,5.6,329.0,280.0,427.0,3093.0,35.0,7.0,6.5,534.0,2560.0,15.0,4.8,133.0,39.8,31.1,2.3,347.0,5.9,26.0,323.0,355.0,3842.0,26.0,12.0,6.5,366.0,1811.0,9.0,4.9,91.0,35.2,32.1,1.88,6.0,18.0,17.0,32.0,27.0,5.0,2.0,15.0,2.0,1.0,11.0,5.0,10.0,17.0,7.0,11.0,16.0,10.0,19.0,17.0,14.0,18.0,17.0,5.0,13.0,4.0,30.0,19.0,20.0,12.0
61,30,369.0,5.8,297.0,382.0,583.0,4047.0,23.0,12.0,6.4,354.0,1650.0,13.0,4.7,71.0,38.4,32.2,1.97,412.0,5.7,21.0,346.0,362.0,4044.0,24.0,16.0,6.9,444.0,1898.0,18.0,4.3,103.0,40.9,32.7,2.18,16.0,17.0,25.0,9.0,11.0,21.0,12.0,17.0,29.0,24.0,16.0,10.0,12.0,15.0,18.0,23.0,24.0,15.0,25.0,23.0,13.0,7.0,27.0,25.0,20.0,28.0,11.0,4.0,22.0,24.0
62,31,414.0,6.2,352.0,428.0,617.0,4653.0,36.0,7.0,7.1,351.0,1573.0,11.0,4.5,84.0,42.9,37.0,2.4,423.0,6.0,19.0,375.0,398.0,4153.0,33.0,15.0,6.7,409.0,1999.0,16.0,4.9,115.0,41.5,36.0,2.39,10.0,6.0,10.0,5.0,4.0,3.0,2.0,7.0,30.0,27.0,23.0,13.0,4.0,2.0,4.0,25.0,28.0,20.0,30.0,27.0,29.0,9.0,24.0,14.0,25.0,21.0,28.0,3.0,30.0,30.0
63,32,436.0,5.9,365.0,378.0,574.0,4258.0,29.0,11.0,7.2,478.0,2037.0,18.0,4.3,131.0,40.8,34.2,2.27,325.0,5.7,28.0,322.0,370.0,3943.0,29.0,18.0,6.2,367.0,1803.0,7.0,4.9,93.0,32.6,30.7,1.75,4.0,5.0,8.0,11.0,8.0,11.0,10.0,6.0,3.0,5.0,4.0,20.0,7.0,9.0,8.0,7.0,21.0,5.0,17.0,22.0,19.0,3.0,9.0,6.0,11.0,2.0,29.0,29.0,11.0,7.0
64,1,234.0,4.9,290.0,312.0,574.0,3228.0,15.0,28.0,5.2,384.0,1714.0,11.0,4.5,97.0,22.0,26.5,1.22,410.0,5.1,13.0,315.0,360.0,3684.0,28.0,7.0,6.6,467.0,1566.0,14.0,3.4,95.0,36.2,27.8,2.0,32.0,24.0,22.0,9.0,22.0,28.0,32.0,30.0,28.0,18.0,19.0,6.0,32.0,23.0,31.0,31.0,14.0,32.0,18.0,19.0,26.0,31.0,26.0,28.0,7.0,22.0,2.0,11.0,9.0,27.0
65,2,246.0,4.9,271.0,373.0,608.0,3479.0,20.0,14.0,5.4,394.0,1549.0,6.0,3.9,66.0,22.7,25.9,1.22,388.0,5.7,19.0,313.0,347.0,4038.0,32.0,13.0,6.9,464.0,1933.0,10.0,4.2,101.0,35.5,30.3,1.92,31.0,21.0,28.0,1.0,19.0,23.0,20.0,26.0,25.0,26.0,28.0,22.0,31.0,26.0,32.0,27.0,31.0,23.0,17.0,31.0,32.0,15.0,27.0,24.0,27.0,9.0,20.0,14.0,23.0,24.0
66,3,298.0,5.0,269.0,323.0,510.0,3182.0,19.0,12.0,5.7,427.0,1702.0,13.0,4.0,77.0,28.6,24.5,1.5,382.0,5.4,20.0,329.0,329.0,3749.0,30.0,11.0,6.4,466.0,1887.0,13.0,4.0,88.0,33.3,29.2,1.9,24.0,28.0,29.0,25.0,24.0,25.0,11.0,20.0,17.0,19.0,11.0,20.0,26.0,31.0,24.0,22.0,25.0,20.0,27.0,21.0,29.0,20.0,21.0,26.0,24.0,18.0,15.0,17.0,17.0,22.0
67,4,234.0,4.9,290.0,312.0,574.0,3228.0,15.0,28.0,5.2,384.0,1714.0,11.0,4.5,97.0,22.0,26.5,1.22,410.0,5.1,13.0,315.0,360.0,3684.0,28.0,7.0,6.6,467.0,1566.0,14.0,3.4,95.0,36.2,27.8,2.0,32.0,24.0,22.0,9.0,22.0,28.0,32.0,30.0,28.0,18.0,19.0,6.0,32.0,23.0,31.0,31.0,14.0,32.0,18.0,19.0,26.0,31.0,26.0,28.0,7.0,22.0,2.0,11.0,9.0,27.0
68,5,289.0,4.8,297.0,332.0,566.0,3333.0,19.0,22.0,5.4,457.0,1852.0,8.0,4.1,92.0,26.4,26.9,1.35,382.0,4.9,17.0,266.0,294.0,3210.0,29.0,10.0,6.1,428.0,1430.0,9.0,3.3,68.0,32.5,23.8,1.78,27.0,17.0,20.0,12.0,20.0,25.0,31.0,28.0,8.0,12.0,25.0,18.0,28.0,20.0,29.0,22.0,3.0,26.0,3.0,4.0,28.0,24.0,18.0,12.0,5.0,6.0,1.0,21.0,2.0,15.0
69,6,263.0,4.6,267.0,285.0,487.0,2892.0,13.0,9.0,5.3,451.0,1661.0,11.0,3.7,94.0,29.4,25.2,1.42,404.0,5.7,20.0,324.0,320.0,3946.0,23.0,13.0,7.3,488.0,1927.0,15.0,3.9,99.0,39.7,33.7,2.06,30.0,31.0,30.0,30.0,30.0,31.0,6.0,29.0,10.0,22.0,19.0,28.0,22.0,29.0,26.0,30.0,30.0,20.0,23.0,28.0,15.0,15.0,32.0,30.0,26.0,27.0,9.0,4.0,30.0,28.0
70,7,302.0,4.8,278.0,289.0,476.0,2825.0,16.0,10.0,5.4,487.0,2017.0,12.0,4.1,105.0,31.7,26.9,1.57,359.0,5.3,25.0,348.0,370.0,3688.0,14.0,18.0,6.1,466.0,1994.0,22.0,4.3,121.0,37.2,31.1,1.9,22.0,29.0,26.0,31.0,31.0,27.0,8.0,27.0,4.0,6.0,15.0,14.0,19.0,19.0,23.0,18.0,26.0,9.0,30.0,20.0,2.0,6.0,19.0,26.0,29.0,32.0,25.0,8.0,26.0,23.0
71,8,264.0,4.9,266.0,291.0,473.0,2811.0,13.0,12.0,5.5,422.0,1788.0,13.0,4.2,92.0,24.1,26.3,1.32,320.0,5.1,22.0,298.0,343.0,3376.0,18.0,8.0,5.9,432.0,1730.0,10.0,4.0,85.0,33.1,28.7,1.67,29.0,30.0,32.0,32.0,32.0,31.0,11.0,25.0,18.0,16.0,11.0,11.0,30.0,24.0,30.0,9.0,10.0,13.0,10.0,7.0,5.0,29.0,14.0,16.0,11.0,9.0,12.0,20.0,16.0,8.0
72,9,331.0,5.3,321.0,362.0,607.0,3925.0,15.0,15.0,6.0,408.0,1662.0,15.0,4.1,88.0,37.5,30.3,1.78,383.0,5.3,20.0,343.0,344.0,3764.0,27.0,10.0,6.6,491.0,1861.0,13.0,3.8,108.0,37.8,29.8,1.98,20.0,12.0,11.0,2.0,9.0,28.0,23.0,16.0,22.0,21.0,7.0,17.0,9.0,12.0,17.0,25.0,24.0,20.0,29.0,22.0,24.0,24.0,24.0,32.0,22.0,18.0,7.0,6.0,22.0,26.0
73,10,295.0,4.7,310.0,339.0,598.0,3640.0,21.0,18.0,5.6,410.0,1386.0,6.0,3.4,66.0,29.2,24.9,1.41,361.0,4.9,21.0,283.0,343.0,3541.0,24.0,15.0,5.9,407.0,1432.0,12.0,3.5,68.0,31.5,24.9,1.69,25.0,22.0,17.0,5.0,15.0,20.0,28.0,23.0,20.0,30.0,28.0,31.0,24.0,30.0,27.0,19.0,6.0,16.0,8.0,14.0,18.0,12.0,12.0,10.0,6.0,16.0,3.0,24.0,4.0,11.0
74,11,281.0,4.9,284.0,373.0,602.0,3535.0,24.0,21.0,5.6,360.0,1388.0,4.0,3.9,66.0,25.8,25.9,1.36,393.0,5.4,15.0,319.0,339.0,3603.0,26.0,9.0,6.5,431.0,1768.0,14.0,4.1,88.0,36.6,28.5,1.98,28.0,25.0,25.0,4.0,18.0,15.0,30.0,24.0,32.0,29.0,31.0,24.0,29.0,27.0,28.0,29.0,16.0,29.0,20.0,16.0,23.0,28.0,23.0,15.0,14.0,22.0,17.0,10.0,14.0,25.0
75,12,335.0,5.6,352.0,378.0,605.0,4366.0,26.0,14.0,6.8,390.0,1448.0,8.0,3.7,76.0,33.7,33.1,1.79,382.0,6.0,26.0,327.0,371.0,4169.0,22.0,13.0,7.3,440.0,1880.0,17.0,4.3,102.0,38.9,34.6,2.13,18.0,9.0,2.0,3.0,4.0,10.0,20.0,10.0,26.0,27.0,25.0,27.0,16.0,7.0,15.0,22.0,32.0,7.0,26.0,32.0,12.0,15.0,31.0,20.0,23.0,30.0,24.0,5.0,32.0,31.0
76,13,342.0,5.3,278.0,347.0,540.0,3751.0,27.0,13.0,6.5,401.0,1448.0,10.0,3.6,66.0,31.9,27.0,1.73,388.0,5.3,23.0,307.0,306.0,3420.0,23.0,16.0,6.0,472.0,2146.0,13.0,4.5,105.0,35.9,28.4,1.82,16.0,16.0,26.0,18.0,12.0,9.0,16.0,12.0,24.0,27.0,21.0,30.0,18.0,18.0,18.0,27.0,21.0,12.0,14.0,9.0,15.0,9.0,15.0,29.0,32.0,18.0,29.0,13.0,13.0,18.0
77,14,448.0,6.3,332.0,386.0,536.0,4189.0,23.0,8.0,7.5,444.0,2070.0,23.0,4.7,111.0,44.6,35.6,2.41,326.0,5.4,25.0,308.0,329.0,3597.0,22.0,20.0,6.0,406.0,1787.0,11.0,4.4,92.0,33.3,30.4,1.75,4.0,2.0,7.0,19.0,5.0,16.0,2.0,1.0,13.0,5.0,1.0,2.0,4.0,2.0,2.0,10.0,17.0,9.0,15.0,15.0,12.0,3.0,16.0,9.0,16.0,13.0,28.0,17.0,24.0,13.0
78,15,301.0,5.4,287.0,347.0,558.0,3631.0,23.0,14.0,6.2,370.0,1554.0,13.0,4.2,78.0,29.2,29.1,1.69,373.0,5.6,14.0,304.0,361.0,3858.0,24.0,5.0,6.9,433.0,1743.0,11.0,4.0,93.0,40.9,32.9,2.07,23.0,17.0,24.0,15.0,16.0,16.0,20.0,13.0,30.0,25.0,11.0,13.0,23.0,15.0,21.0,20.0,23.0,30.0,13.0,26.0,18.0,32.0,28.0,18.0,12.0,13.0,13.0,1.0,29.0,29.0
79,16,302.0,4.8,278.0,289.0,476.0,2825.0,16.0,10.0,5.4,487.0,2017.0,12.0,4.1,105.0,31.7,26.9,1.57,359.0,5.3,25.0,348.0,370.0,3688.0,14.0,18.0,6.1,466.0,1994.0,22.0,4.3,121.0,37.2,31.1,1.9,22.0,29.0,26.0,31.0,31.0,27.0,8.0,27.0,4.0,6.0,15.0,14.0,19.0,19.0,23.0,18.0,26.0,9.0,30.0,20.0,2.0,6.0,19.0,26.0,29.0,32.0,25.0,8.0,26.0,23.0
